Order Number	Country	Product	Units Sold	Manufacturing Price	Sale Price	Gross Sales	Sales	COGS	Profit	Date
697-398-366	Japan	Vermont	" £4,492 "	 £10.00 	 £125.00 	" £561,500.00 "	" £553,966.25 "	" £241,080.00 "	" £312,886.25 "	1/10/2019
681-396-293	India	Vermont	 £764 	 £10.00 	 £15.00 	" £11,460.00 "	" £10,584.75 "	" £19,450.00 "	"-£8,865.25 "	1/10/2018
711-499-302	United Kingdom	Vermont	" £1,744 "	 £10.00 	 £125.00 	" £218,000.00 "	" £213,173.75 "	" £154,440.00 "	" £58,733.75 "	1/12/2019
743-426-404	India	Vermont	" £2,341 "	 £10.00 	 £125.00 	" £292,625.00 "	" £286,227.50 "	" £204,720.00 "	" £81,507.50 "	1/12/2019
592-595-432	Japan	Burlington	" £3,835 "	 £120.00 	 £125.00 	" £479,375.00 "	" £471,841.25 "	" £241,080.00 "	" £230,761.25 "	1/10/2019
601-680-542	United States of America	Mandarin	" £1,161 "	 £250.00 	 £300.00 	" £348,300.00 "	" £322,704.00 "	" £711,000.00 "	"-£388,296.00 "	1/2/2019
528-520-321	Brazil	Mandarin	 £876 	 £250.00 	 £12.00 	" £10,512.00 "	" £9,822.24 "	" £5,748.00 "	" £4,074.24 "	1/4/2019
512-400-531	India	Mandarin	" £1,705 "	 £250.00 	 £125.00 	" £213,125.00 "	" £207,237.50 "	" £188,400.00 "	" £18,837.50 "	1/6/2019
645-569-407	Japan	Mandarin	" £1,805 "	 £250.00 	 £300.00 	" £541,500.00 "	" £524,634.00 "	" £468,500.00 "	" £56,134.00 "	1/8/2019
511-573-454	Brazil	Mandarin	 £389 	 £250.00 	 £350.00 	" £136,150.00 "	" £118,909.00 "	" £426,920.00 "	"-£308,011.00 "	1/8/2019
692-624-483	India	Mandarin	" £2,745 "	 £250.00 	 £15.00 	" £41,175.00 "	" £40,299.75 "	" £19,450.00 "	" £20,849.75 "	1/10/2018
492-561-524	Japan	Kensington	" £1,459 "	 £3.00 	 £20.00 	" £29,180.00 "	" £28,681.40 "	" £8,310.00 "	" £20,371.40 "	1/5/2019
560-504-482	Brazil	Vermont	" £3,938 "	 £10.00 	 £7.00 	" £27,566.00 "	" £27,196.40 "	" £8,800.00 "	" £18,396.40 "	1/9/2018
719-696-404	Japan	Burlington	" £4,236 "	 £120.00 	 £20.00 	" £84,720.00 "	" £82,409.70 "	" £38,505.00 "	" £43,904.70 "	1/4/2019
497-511-290	India	Mandarin	" £3,627 "	 £250.00 	 £12.00 	" £43,524.00 "	" £42,631.56 "	" £7,437.00 "	" £35,194.56 "	1/1/2019
576-564-457	Brazil	Royal Oak	" £1,756 "	 £5.00 	 £15.00 	" £26,340.00 "	" £25,121.40 "	" £20,310.00 "	" £4,811.40 "	1/10/2019
667-584-315	Brazil	Vermont	 £307 	 £10.00 	 £15.00 	" £4,605.00 "	" £3,386.40 "	" £20,310.00 "	"-£16,923.60 "	1/10/2019
772-671-405	United Kingdom	Vermont	" £4,489 "	 £10.00 	 £15.00 	" £67,335.00 "	" £65,978.40 "	" £22,610.00 "	" £43,368.40 "	1/12/2018
633-400-459	United States of America	Burlington	" £2,167 "	 £120.00 	 £20.00 	" £43,340.00 "	" £42,751.20 "	" £7,360.00 "	" £35,391.20 "	1/9/2018
711-689-457	Japan	Kensington	" £1,137 "	 £3.00 	 £7.00 	" £7,959.00 "	" £7,160.72 "	" £14,255.00 "	"-£7,094.28 "	1/10/2018
612-698-344	India	Kensington	" £1,222 "	 £3.00 	 £300.00 	" £366,600.00 "	" £342,348.00 "	" £505,250.00 "	"-£162,902.00 "	1/10/2019
667-607-558	United States of America	Kensington	 £489 	 £3.00 	 £350.00 	" £171,150.00 "	" £167,314.00 "	" £71,240.00 "	" £96,074.00 "	1/12/2019
582-448-308	Japan	Royal Oak	" £4,133 "	 £5.00 	 £15.00 	" £61,995.00 "	" £60,814.80 "	" £19,670.00 "	" £41,144.80 "	1/3/2019
567-433-360	India	Royal Oak	" £2,743 "	 £5.00 	 £300.00 	" £822,900.00 "	" £800,592.00 "	" £464,750.00 "	" £335,842.00 "	1/8/2019
523-482-422	Japan	Royal Oak	" £3,699 "	 £5.00 	 £7.00 	" £25,893.00 "	" £25,094.72 "	" £14,255.00 "	" £10,839.72 "	1/10/2018
570-459-476	India	Royal Oak	" £4,460 "	 £5.00 	 £300.00 	" £1,338,000.00 "	" £1,313,748.00 "	" £505,250.00 "	" £808,498.00 "	1/10/2019
479-598-494	Brazil	Royal Oak	" £1,232 "	 £5.00 	 £125.00 	" £154,000.00 "	" £148,310.00 "	" £136,560.00 "	" £11,750.00 "	1/12/2019
765-661-514	Japan	Vermont	" £2,586 "	 £10.00 	 £7.00 	" £18,102.00 "	" £16,911.72 "	" £21,255.00 "	"-£4,343.28 "	1/1/2019
597-475-501	India	Vermont	" £1,332 "	 £10.00 	 £125.00 	" £166,500.00 "	" £162,525.00 "	" £95,400.00 "	" £67,125.00 "	1/3/2019
546-412-534	India	Vermont	" £4,487 "	 £10.00 	 £300.00 	" £1,346,100.00 "	" £1,329,126.00 "	" £353,625.00 "	" £975,501.00 "	1/4/2019
500-681-411	United States of America	Vermont	" £3,862 "	 £10.00 	 £300.00 	" £1,158,600.00 "	" £1,123,584.00 "	" £729,500.00 "	" £394,084.00 "	1/5/2019
669-497-466	United States of America	Vermont	" £1,765 "	 £10.00 	 £350.00 	" £617,750.00 "	" £569,450.00 "	" £897,000.00 "	"-£327,550.00 "	1/7/2019
603-598-503	United Kingdom	Vermont	" £3,533 "	 £10.00 	 £125.00 	" £441,625.00 "	" £426,685.00 "	" £358,560.00 "	" £68,125.00 "	1/7/2019
479-450-486	Japan	Vermont	" £2,016 "	 £10.00 	 £15.00 	" £30,240.00 "	" £30,109.20 "	" £2,180.00 "	" £27,929.20 "	1/9/2019
779-651-515	Japan	Vermont	" £2,938 "	 £10.00 	 £20.00 	" £58,760.00 "	" £57,100.80 "	" £20,740.00 "	" £36,360.80 "	1/9/2019
491-620-465	United States of America	Vermont	" £3,352 "	 £10.00 	 £20.00 	" £67,040.00 "	" £66,195.20 "	" £10,560.00 "	" £55,635.20 "	1/9/2019
485-573-488	United States of America	Vermont	" £4,409 "	 £10.00 	 £15.00 	" £66,135.00 "	" £65,732.40 "	" £6,710.00 "	" £59,022.40 "	1/10/2018
618-588-526	Brazil	Vermont	" £3,323 "	 £10.00 	 £15.00 	" £49,845.00 "	" £48,936.60 "	" £15,140.00 "	" £33,796.60 "	1/10/2018
488-567-330	United States of America	Vermont	" £2,430 "	 £10.00 	 £350.00 	" £850,500.00 "	" £846,664.00 "	" £71,240.00 "	" £775,424.00 "	1/12/2019
484-427-486	Brazil	Vermont	 £535 	 £10.00 	 £125.00 	" £66,875.00 "	" £61,185.00 "	" £136,560.00 "	"-£75,375.00 "	1/12/2019
737-448-485	United States of America	Burlington	" £1,523 "	 £120.00 	 £12.00 	" £18,276.00 "	" £17,572.80 "	" £4,395.00 "	" £13,177.80 "	1/3/2019
687-655-377	Japan	Burlington	" £3,631 "	 £120.00 	 £20.00 	" £72,620.00 "	" £70,503.20 "	" £26,460.00 "	" £44,043.20 "	1/9/2018
667-465-392	United Kingdom	Burlington	" £1,782 "	 £120.00 	 £350.00 	" £623,700.00 "	" £593,222.00 "	" £566,020.00 "	" £27,202.00 "	1/10/2019
701-585-317	United Kingdom	Mandarin	 £347 	 £250.00 	 £12.00 	" £4,164.00 "	" £3,748.32 "	" £2,598.00 "	" £1,150.32 "	1/5/2019
695-615-433	United States of America	Mandarin	" £4,147 "	 £250.00 	 £350.00 	" £1,451,450.00 "	" £1,446,564.00 "	" £90,740.00 "	" £1,355,824.00 "	1/9/2018
544-696-422	United Kingdom	Mandarin	" £3,509 "	 £250.00 	 £350.00 	" £1,228,150.00 "	" £1,197,672.00 "	" £566,020.00 "	" £631,652.00 "	1/10/2019
753-422-535	Brazil	Mandarin	" £2,774 "	 £250.00 	 £15.00 	" £41,610.00 "	" £40,701.60 "	" £15,140.00 "	" £25,561.60 "	1/10/2018
720-413-392	Brazil	Luxe	" £2,943 "	 £260.00 	 £350.00 	" £1,030,050.00 "	" £1,003,940.00 "	" £484,900.00 "	" £519,040.00 "	1/2/2019
491-446-480	Brazil	Luxe	" £4,037 "	 £260.00 	 £125.00 	" £504,625.00 "	" £499,255.00 "	" £128,880.00 "	" £370,375.00 "	1/4/2019
729-577-521	India	Luxe	" £4,146 "	 £260.00 	 £350.00 	" £1,451,100.00 "	" £1,424,402.00 "	" £495,820.00 "	" £928,582.00 "	1/9/2019
560-520-558	United States of America	Luxe	" £4,123 "	 £260.00 	 £15.00 	" £61,845.00 "	" £61,442.40 "	" £6,710.00 "	" £54,732.40 "	1/10/2018
774-578-554	Japan	Luxe	" £1,337 "	 £260.00 	 £350.00 	" £467,950.00 "	" £443,058.00 "	" £462,280.00 "	"-£19,222.00 "	1/12/2018
762-470-305	India	Royal Oak	 £599 	 £5.00 	 £7.00 	" £4,193.00 "	" £3,787.35 "	" £5,795.00 "	"-£2,007.65 "	1/10/2018
475-674-460	India	Vermont	 £725 	 £10.00 	 £7.00 	" £5,075.00 "	" £4,594.80 "	" £6,860.00 "	"-£2,265.20 "	1/1/2019
683-478-530	Japan	Vermont	 £477 	 £10.00 	 £7.00 	" £3,339.00 "	" £2,516.85 "	" £11,745.00 "	"-£9,228.15 "	1/9/2018
711-440-365	Brazil	Vermont	" £2,325 "	 £10.00 	 £7.00 	" £16,275.00 "	" £15,333.85 "	" £13,445.00 "	" £1,888.85 "	1/10/2019
775-643-430	Japan	Vermont	 £675 	 £10.00 	 £12.00 	" £8,100.00 "	" £6,641.40 "	" £7,293.00 "	-£651.60 	1/12/2019
716-419-546	Japan	Burlington	" £2,990 "	 £120.00 	 £12.00 	" £35,880.00 "	" £34,421.40 "	" £7,293.00 "	" £27,128.40 "	1/12/2019
778-565-511	Brazil	Mandarin	" £1,072 "	 £250.00 	 £7.00 	" £7,504.00 "	" £6,562.85 "	" £13,445.00 "	"-£6,882.15 "	1/10/2019
512-661-377	Brazil	Luxe	" £1,048 "	 £260.00 	 £7.00 	" £7,336.00 "	" £6,746.95 "	" £8,415.00 "	"-£1,668.05 "	1/7/2019
557-642-392	Brazil	Luxe	 £469 	 £260.00 	 £12.00 	" £5,628.00 "	" £4,954.20 "	" £3,369.00 "	" £1,585.20 "	1/8/2019
764-644-290	India	Luxe	 £804 	 £260.00 	 £7.00 	" £5,628.00 "	" £5,222.35 "	" £5,795.00 "	-£572.65 	1/10/2018
756-666-539	United Kingdom	Kensington	" £4,240 "	 £3.00 	 £12.00 	" £50,880.00 "	" £49,761.00 "	" £5,595.00 "	" £44,166.00 "	1/2/2019
568-536-308	India	Kensington	" £1,976 "	 £3.00 	 £12.00 	" £23,712.00 "	" £23,042.40 "	" £3,348.00 "	" £19,694.40 "	1/2/2019
543-543-321	United Kingdom	Kensington	" £1,984 "	 £3.00 	 £20.00 	" £39,680.00 "	" £38,117.00 "	" £15,630.00 "	" £22,487.00 "	1/5/2019
607-684-471	United States of America	Kensington	 £480 	 £3.00 	 £300.00 	" £144,000.00 "	" £129,135.00 "	" £247,750.00 "	"-£118,615.00 "	1/6/2019
636-476-310	India	Kensington	" £3,551 "	 £3.00 	 £7.00 	" £24,857.00 "	" £24,501.40 "	" £5,080.00 "	" £19,421.40 "	1/11/2018
644-573-476	Brazil	Kensington	" £1,205 "	 £3.00 	 £15.00 	" £18,075.00 "	" £15,981.75 "	" £27,910.00 "	"-£11,928.25 "	1/11/2019
587-671-298	United States of America	Kensington	" £2,480 "	 £3.00 	 £7.00 	" £17,360.00 "	" £17,160.50 "	" £2,850.00 "	" £14,310.50 "	1/12/2019
761-515-489	United Kingdom	Kensington	" £2,926 "	 £3.00 	 £7.00 	" £20,482.00 "	" £19,611.55 "	" £12,435.00 "	" £7,176.55 "	1/12/2019
709-697-331	United Kingdom	Royal Oak	" £3,210 "	 £5.00 	 £350.00 	" £1,123,500.00 "	" £1,099,271.25 "	" £359,970.00 "	" £739,301.25 "	1/1/2019
506-641-478	United States of America	Royal Oak	" £3,221 "	 £5.00 	 £125.00 	" £402,625.00 "	" £379,956.25 "	" £435,240.00 "	"-£55,283.75 "	1/7/2019
527-390-516	Brazil	Royal Oak	" £2,389 "	 £5.00 	 £350.00 	" £836,150.00 "	" £823,550.00 "	" £187,200.00 "	" £636,350.00 "	1/9/2018
507-620-426	India	Royal Oak	" £1,127 "	 £5.00 	 £12.00 	" £13,524.00 "	" £12,118.80 "	" £7,026.00 "	" £5,092.80 "	1/11/2019
572-514-458	Brazil	Royal Oak	 £319 	 £5.00 	 £300.00 	" £95,700.00 "	" £79,200.00 "	" £275,000.00 "	"-£195,800.00 "	1/12/2018
580-638-410	United Kingdom	Vermont	" £1,610 "	 £10.00 	 £20.00 	" £32,200.00 "	" £30,897.00 "	" £13,030.00 "	" £17,867.00 "	1/2/2019
574-554-496	United States of America	Vermont	" £4,100 "	 £10.00 	 £125.00 	" £512,500.00 "	" £493,800.00 "	" £359,040.00 "	" £134,760.00 "	1/3/2019
496-568-365	United Kingdom	Vermont	" £1,012 "	 £10.00 	 £125.00 	" £126,500.00 "	" £111,593.75 "	" £286,200.00 "	"-£174,606.25 "	1/3/2019
480-455-386	Brazil	Vermont	" £3,337 "	 £10.00 	 £300.00 	" £1,001,100.00 "	" £976,995.00 "	" £401,750.00 "	" £575,245.00 "	1/4/2019
730-553-552	United States of America	Vermont	" £3,955 "	 £10.00 	 £7.00 	" £27,685.00 "	" £26,870.55 "	" £11,635.00 "	" £15,235.55 "	1/5/2019
672-633-438	United States of America	Vermont	" £4,347 "	 £10.00 	 £300.00 	" £1,304,100.00 "	" £1,289,235.00 "	" £247,750.00 "	" £1,041,485.00 "	1/6/2019
518-698-446	United States of America	Vermont	" £1,548 "	 £10.00 	 £350.00 	" £541,800.00 "	" £531,265.00 "	" £156,520.00 "	" £374,745.00 "	1/6/2019
709-485-391	United Kingdom	Vermont	" £2,153 "	 £10.00 	 £15.00 	" £32,295.00 "	" £30,330.00 "	" £26,200.00 "	" £4,130.00 "	1/9/2019
637-564-344	Japan	Vermont	" £3,789 "	 £10.00 	 £350.00 	" £1,326,150.00 "	" £1,304,660.00 "	" £319,280.00 "	" £985,380.00 "	1/10/2018
556-465-513	Japan	Vermont	" £4,364 "	 £10.00 	 £20.00 	" £87,280.00 "	" £85,891.00 "	" £13,890.00 "	" £72,001.00 "	1/10/2018
542-694-498	United States of America	Vermont	" £4,126 "	 £10.00 	 £125.00 	" £515,750.00 "	" £510,368.75 "	" £103,320.00 "	" £407,048.75 "	1/10/2019
780-476-477	United Kingdom	Vermont	" £1,343 "	 £10.00 	 £125.00 	" £167,875.00 "	" £163,475.00 "	" £84,480.00 "	" £78,995.00 "	1/10/2018
688-646-302	Japan	Vermont	 £245 	 £10.00 	 £20.00 	" £4,900.00 "	" £3,098.00 "	" £18,020.00 "	"-£14,922.00 "	1/12/2018
762-688-326	United States of America	Vermont	" £3,376 "	 £10.00 	 £20.00 	" £67,520.00 "	" £64,857.00 "	" £26,630.00 "	" £38,227.00 "	1/12/2019
562-588-436	United Kingdom	Vermont	" £1,401 "	 £10.00 	 £7.00 	" £9,807.00 "	" £9,059.40 "	" £10,680.00 "	"-£1,620.60 "	1/12/2018
598-677-332	India	Vermont	" £3,483 "	 £10.00 	 £15.00 	" £52,245.00 "	" £50,658.00 "	" £21,160.00 "	" £29,498.00 "	1/12/2018
564-473-452	United States of America	Burlington	" £2,244 "	 £120.00 	 £15.00 	" £33,660.00 "	" £33,243.75 "	" £5,550.00 "	" £27,693.75 "	1/1/2019
745-617-373	Brazil	Burlington	" £1,360 "	 £120.00 	 £15.00 	" £20,400.00 "	" £18,254.25 "	" £28,610.00 "	"-£10,355.75 "	1/1/2019
682-676-377	India	Burlington	 £279 	 £120.00 	 £125.00 	" £34,875.00 "	" £29,831.25 "	" £96,840.00 "	"-£67,008.75 "	1/2/2019
566-627-422	United States of America	Burlington	" £2,521 "	 £120.00 	 £350.00 	" £882,350.00 "	" £871,815.00 "	" £156,520.00 "	" £715,295.00 "	1/6/2019
519-405-384	United States of America	Burlington	" £2,433 "	 £120.00 	 £20.00 	" £48,660.00 "	" £45,828.00 "	" £28,320.00 "	" £17,508.00 "	1/8/2019
660-531-445	United Kingdom	Burlington	" £1,738 "	 £120.00 	 £20.00 	" £34,760.00 "	" £33,181.00 "	" £15,790.00 "	" £17,391.00 "	1/8/2019
548-614-498	United States of America	Burlington	" £1,106 "	 £120.00 	 £125.00 	" £138,250.00 "	" £132,868.75 "	" £103,320.00 "	" £29,548.75 "	1/10/2019
604-406-470	United Kingdom	Burlington	" £3,379 "	 £120.00 	 £125.00 	" £422,375.00 "	" £417,975.00 "	" £84,480.00 "	" £333,495.00 "	1/10/2018
467-588-426	United Kingdom	Burlington	" £1,221 "	 £120.00 	 £20.00 	" £24,420.00 "	" £23,387.00 "	" £10,330.00 "	" £13,057.00 "	1/12/2018
709-519-348	India	Burlington	 £213 	 £120.00 	 £300.00 	" £63,900.00 "	" £45,150.00 "	" £312,500.00 "	"-£267,350.00 "	1/12/2019
640-647-336	Japan	Mandarin	" £3,335 "	 £250.00 	 £20.00 	" £66,700.00 "	" £65,311.00 "	" £13,890.00 "	" £51,421.00 "	1/10/2018
745-490-304	United States of America	Mandarin	" £1,260 "	 £250.00 	 £20.00 	" £25,200.00 "	" £23,935.00 "	" £12,650.00 "	" £11,285.00 "	1/11/2018
668-479-302	India	Mandarin	" £3,034 "	 £250.00 	 £20.00 	" £60,680.00 "	" £58,383.00 "	" £22,970.00 "	" £35,413.00 "	1/11/2018
560-419-373	United States of America	Mandarin	" £2,929 "	 £250.00 	 £20.00 	" £58,580.00 "	" £55,917.00 "	" £26,630.00 "	" £29,287.00 "	1/12/2019
785-670-399	United States of America	Mandarin	" £2,389 "	 £250.00 	 £7.00 	" £16,723.00 "	" £16,523.50 "	" £2,850.00 "	" £13,673.50 "	1/12/2019
765-512-350	United Kingdom	Mandarin	" £3,086 "	 £250.00 	 £7.00 	" £21,602.00 "	" £20,731.55 "	" £12,435.00 "	" £8,296.55 "	1/12/2019
616-671-375	India	Luxe	 £745 	 £260.00 	 £350.00 	" £260,750.00 "	" £237,125.00 "	" £351,000.00 "	"-£113,875.00 "	1/2/2019
741-694-429	Japan	Luxe	" £1,266 "	 £260.00 	 £350.00 	" £443,100.00 "	" £433,440.00 "	" £143,520.00 "	" £289,920.00 "	1/8/2019
681-440-482	Japan	Luxe	" £3,790 "	 £260.00 	 £350.00 	" £1,326,500.00 "	" £1,305,010.00 "	" £319,280.00 "	" £985,730.00 "	1/10/2018
475-393-293	India	Luxe	" £4,287 "	 £260.00 	 £300.00 	" £1,286,100.00 "	" £1,267,350.00 "	" £312,500.00 "	" £954,850.00 "	1/12/2019
461-498-422	United Kingdom	Vermont	" £3,193 "	 £10.00 	 £15.00 	" £47,895.00 "	" £44,474.10 "	" £38,010.00 "	" £6,464.10 "	1/4/2019
573-572-434	United States of America	Kensington	" £1,967 "	 £3.00 	 £20.00 	" £39,340.00 "	" £37,999.00 "	" £11,175.00 "	" £26,824.00 "	1/1/2019
647-554-328	Japan	Kensington	 £631 	 £3.00 	 £15.00 	" £9,465.00 "	" £6,905.40 "	" £28,440.00 "	"-£21,534.60 "	1/6/2019
714-697-505	Brazil	Kensington	" £3,469 "	 £3.00 	 £12.00 	" £41,628.00 "	" £41,223.36 "	" £1,686.00 "	" £39,537.36 "	1/9/2019
603-675-373	Japan	Kensington	 £570 	 £3.00 	 £12.00 	" £6,840.00 "	" £5,184.72 "	" £6,897.00 "	"-£1,712.28 "	1/10/2018
665-660-443	United States of America	Kensington	" £3,215 "	 £3.00 	 £15.00 	" £48,225.00 "	" £46,398.00 "	" £20,300.00 "	" £26,098.00 "	1/11/2019
769-672-351	United States of America	Kensington	" £3,754 "	 £3.00 	 £7.00 	" £26,278.00 "	" £26,167.54 "	" £1,315.00 "	" £24,852.54 "	1/11/2018
664-484-552	India	Kensington	" £2,187 "	 £3.00 	 £125.00 	" £273,375.00 "	" £266,722.50 "	" £106,440.00 "	" £160,282.50 "	1/12/2018
585-417-339	Brazil	Royal Oak	" £1,959 "	 £5.00 	 £350.00 	" £685,650.00 "	" £665,070.00 "	" £254,800.00 "	" £410,270.00 "	1/4/2019
476-661-386	India	Royal Oak	" £2,181 "	 £5.00 	 £350.00 	" £763,350.00 "	" £732,690.00 "	" £379,600.00 "	" £353,090.00 "	1/5/2019
632-422-304	United Kingdom	Royal Oak	" £3,559 "	 £5.00 	 £7.00 	" £24,913.00 "	" £24,323.74 "	" £7,015.00 "	" £17,308.74 "	1/10/2018
638-620-457	United States of America	Royal Oak	" £2,205 "	 £5.00 	 £12.00 	" £26,460.00 "	" £24,499.44 "	" £8,169.00 "	" £16,330.44 "	1/11/2019
488-534-340	United Kingdom	Vermont	" £1,890 "	 £10.00 	 £350.00 	" £661,500.00 "	" £630,084.00 "	" £388,960.00 "	" £241,124.00 "	1/6/2019
706-666-518	Japan	Vermont	" £1,296 "	 £10.00 	 £12.00 	" £15,552.00 "	" £13,896.72 "	" £6,897.00 "	" £6,999.72 "	1/10/2018
467-684-440	United States of America	Vermont	 £775 	 £10.00 	 £350.00 	" £271,250.00 "	" £255,983.00 "	" £189,020.00 "	" £66,963.00 "	1/10/2018
644-660-424	Japan	Burlington	" £2,417 "	 £120.00 	 £125.00 	" £302,125.00 "	" £294,985.00 "	" £114,240.00 "	" £180,745.00 "	1/2/2019
718-579-316	United States of America	Burlington	" £1,158 "	 £120.00 	 £125.00 	" £144,750.00 "	" £124,087.50 "	" £330,600.00 "	"-£206,512.50 "	1/2/2019
786-467-557	India	Burlington	 £803 	 £120.00 	 £15.00 	" £12,045.00 "	" £10,668.00 "	" £15,300.00 "	"-£4,632.00 "	1/5/2019
500-464-552	United Kingdom	Burlington	" £3,705 "	 £120.00 	 £350.00 	" £1,296,750.00 "	" £1,265,334.00 "	" £388,960.00 "	" £876,374.00 "	1/6/2019
603-512-451	Brazil	Burlington	 £589 	 £120.00 	 £7.00 	" £4,123.00 "	" £3,493.84 "	" £7,490.00 "	"-£3,996.16 "	1/6/2019
614-610-319	United Kingdom	Burlington	" £3,797 "	 £120.00 	 £300.00 	" £1,139,100.00 "	" £1,117,122.00 "	" £305,250.00 "	" £811,872.00 "	1/10/2018
528-446-321	United Kingdom	Burlington	" £1,321 "	 £120.00 	 £350.00 	" £462,350.00 "	" £418,754.00 "	" £539,760.00 "	"-£121,006.00 "	1/10/2018
586-615-425	Japan	Mandarin	" £3,999 "	 £250.00 	 £15.00 	" £59,985.00 "	" £57,425.40 "	" £28,440.00 "	" £28,985.40 "	1/6/2019
540-483-479	Brazil	Mandarin	" £4,256 "	 £250.00 	 £7.00 	" £29,792.00 "	" £29,162.84 "	" £7,490.00 "	" £21,672.84 "	1/6/2019
537-482-326	United Kingdom	Mandarin	" £1,643 "	 £250.00 	 £300.00 	" £492,900.00 "	" £470,922.00 "	" £305,250.00 "	" £165,672.00 "	1/10/2018
556-534-382	Brazil	Mandarin	" £1,912 "	 £250.00 	 £20.00 	" £38,240.00 "	" £36,892.40 "	" £11,230.00 "	" £25,662.40 "	1/11/2018
716-447-507	Japan	Mandarin	" £1,610 "	 £250.00 	 £300.00 	" £483,000.00 "	" £439,152.00 "	" £609,000.00 "	"-£169,848.00 "	1/12/2018
756-412-399	United Kingdom	Luxe	" £2,160 "	 £260.00 	 £125.00 	" £270,000.00 "	" £255,093.75 "	" £238,500.00 "	" £16,593.75 "	1/1/2019
701-395-328	Brazil	Luxe	 £466 	 £260.00 	 £350.00 	" £163,100.00 "	" £127,841.00 "	" £436,540.00 "	"-£308,699.00 "	1/9/2019
757-578-485	United States of America	Luxe	 £328 	 £260.00 	 £350.00 	" £114,800.00 "	" £99,533.00 "	" £189,020.00 "	"-£89,487.00 "	1/10/2018
470-580-480	United Kingdom	Luxe	" £4,099 "	 £260.00 	 £7.00 	" £28,693.00 "	" £28,103.74 "	" £7,015.00 "	" £21,088.74 "	1/10/2018
781-691-416	United Kingdom	Luxe	 £990 	 £260.00 	 £350.00 	" £346,500.00 "	" £302,904.00 "	" £539,760.00 "	"-£236,856.00 "	1/10/2018
677-537-317	United Kingdom	Royal Oak	" £1,433 "	 £5.00 	 £20.00 	" £28,660.00 "	" £26,551.60 "	" £17,570.00 "	" £8,981.60 "	1/10/2018
461-665-417	United States of America	Vermont	" £1,478 "	 £10.00 	 £15.00 	" £22,170.00 "	" £20,191.80 "	" £21,980.00 "	"-£1,788.20 "	1/8/2019
738-516-481	India	Vermont	" £3,798 "	 £10.00 	 £15.00 	" £56,970.00 "	" £55,401.30 "	" £17,430.00 "	" £37,971.30 "	1/8/2019
602-584-490	United States of America	Vermont	 £447 	 £10.00 	 £15.00 	" £6,705.00 "	" £5,667.30 "	" £11,530.00 "	"-£5,862.70 "	1/10/2019
763-655-410	United Kingdom	Vermont	" £1,711 "	 £10.00 	 £20.00 	" £34,220.00 "	" £32,111.60 "	" £17,570.00 "	" £14,541.60 "	1/10/2018
720-510-478	India	Burlington	 £745 	 £120.00 	 £20.00 	" £14,900.00 "	" £13,698.80 "	" £10,010.00 "	" £3,688.80 "	1/8/2019
654-489-340	Brazil	Burlington	" £1,732 "	 £120.00 	 £7.00 	" £12,124.00 "	" £11,564.14 "	" £6,665.00 "	" £4,899.14 "	1/11/2019
738-667-295	United States of America	Mandarin	" £1,759 "	 £250.00 	 £15.00 	" £26,385.00 "	" £25,347.30 "	" £11,530.00 "	" £13,817.30 "	1/10/2019
722-504-500	Brazil	Kensington	 £338 	 £3.00 	 £12.00 	" £4,056.00 "	" £3,445.32 "	" £2,181.00 "	" £1,264.32 "	1/2/2019
757-538-320	Japan	Kensington	" £3,911 "	 £3.00 	 £12.00 	" £46,932.00 "	" £45,349.44 "	" £5,652.00 "	" £39,697.44 "	1/8/2019
556-426-530	Brazil	Kensington	" £3,691 "	 £3.00 	 £20.00 	" £73,820.00 "	" £71,252.40 "	" £18,340.00 "	" £52,912.40 "	1/9/2018
659-645-369	Brazil	Royal Oak	" £4,473 "	 £5.00 	 £12.00 	" £53,676.00 "	" £51,710.40 "	" £7,020.00 "	" £44,690.40 "	1/1/2019
529-619-434	United Kingdom	Royal Oak	 £383 	 £5.00 	 £12.00 	" £4,596.00 "	" £2,628.72 "	" £7,026.00 "	"-£4,397.28 "	1/11/2019
650-668-299	United Kingdom	Vermont	" £3,105 "	 £10.00 	 £7.00 	" £21,735.00 "	" £21,229.81 "	" £5,155.00 "	" £16,074.81 "	1/9/2018
587-589-462	Japan	Burlington	" £1,062 "	 £120.00 	 £15.00 	" £15,930.00 "	" £14,604.90 "	" £12,620.00 "	" £1,984.90 "	1/5/2019
706-693-307	Japan	Burlington	" £4,083 "	 £120.00 	 £7.00 	" £28,581.00 "	" £28,024.85 "	" £5,675.00 "	" £22,349.85 "	1/6/2019
683-460-379	United States of America	Burlington	" £3,974 "	 £120.00 	 £7.00 	" £27,818.00 "	" £27,549.97 "	" £2,735.00 "	" £24,814.97 "	1/11/2019
469-452-492	Japan	Burlington	" £3,723 "	 £120.00 	 £7.00 	" £26,061.00 "	" £25,285.82 "	" £7,910.00 "	" £17,375.82 "	1/12/2019
717-528-423	United Kingdom	Mandarin	" £2,435 "	 £250.00 	 £12.00 	" £29,220.00 "	" £27,759.66 "	" £5,215.50 "	" £22,544.16 "	1/4/2019
661-480-487	India	Mandarin	" £1,678 "	 £250.00 	 £12.00 	" £20,136.00 "	" £18,275.40 "	" £6,645.00 "	" £11,630.40 "	1/9/2018
